State,District,Taluka_Ward,Facility_Name,Doctor_In_Charge,Doctor_Specialization,Total_Beds,Address,Postal_Code,Registration_Year,Status,Source_URL
Maharashtra,Mumbai Suburban / Mumbai City,Ghatkopar,DR. BAKUL J PAREKH,Not Listed,MD D.C.H,80,JAYANT ARCADE RAJWADI JUNCTION GHATKOPAR(E),400077,2006,Payment / Doc received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Ghatkopar,MR. SHARD R MEHTA,Not Listed,M.B.B.S,18,R.B.MEHTA ROAD 60 FT ROAD GHATKOPAR&amp;quot;(E),400077,1983,Scheduled fees received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Ghatkopar,DR. MUKESH N. PAREKH,DR. MUKESH R. PAREKH,M.D.,15,"GAYATRI DHAM, DERASAR LANE GHATKOPAR",400077,1994,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Ghatkopar,DR. SANJAY VINAYAK NAVELKAR,Not Listed,M.S,4,MADHAV APT JAWAHAR ROAD GHATKOPAR(E),400086,2003,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Ghatkopar,DR. RAJARAM SHANKARLAL SONAGRA,MRS. ALKA J. MHASKE,H.S.C.,40,SHIV PLAZA GOPAL LANE GHATKOPAR (W),400086,2006,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Ghatkopar,MRS. NALINI DAHYALAL TANK,DR. JAYDEEP D. TANK,M.D.,23,AMBIIKA DARSHAN 1 ST FLOOR GHATKOPAR (E),400077,2007,Scheduled fees received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Ghatkopar,DR. RITA .D.MODY DR.NEEMA MANDAVIA -,Not Listed,M.D,22,RATAN MAHAL SHRADDHANAND ROAD GHATKOPER (w),400086,2006,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Ghatkopar,DR. SURENDRANATH SITARAM UPADHYAYA,MS. VAISHALI  DESAI,SSC,15,"TRIMURTI ARCADE 3RD FL, L B S ROAD GHATKOPAR( W)",400086,2000,Payment / Doc received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Ghatkopar,DR. NARENDRA M MEHTA,MRS. GEETA M PARAB,FULLY QUASLIED,10,"NAVAJEEVAN HOSP. M G ROAD, GHATKOPAR(E)",400077,1984,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Ghatkopar,DR. HASMUKH LAVJIBHAI PATEL,DR. HASMUKH LAVJIBHAI PATEL,"M.S,F.C.P.S",5,"HARIDWAR C.H.S. LTD GIRI KUNJ , NEAR HOTEL AIRWAYS GHATKOPAR (W)",400086,1986,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
